F:10:00000
Q:5:000010
G:3:0000110
K:0:00001110000
W:0:00001110001
X:0:0000111001
Y:1:000011101
B:3:00001111
M:12:00010
V:12:00011
R:24:0010
O:25:0011
A:50:010
C:13:01100
D:13:01101
P:14:01110
H:7:011110
Z:4:0111110
J:5:0111111
L:30:1000
N:31:1001
S:32:1010
I:38:1011
E:71:110
T:39:1110
U:41:1111
