F:10:00000;10;5
Q:5:000010;5;6
G:3:0000110;3;7
K:0:00001110000;0;11
W:0:00001110001;0;11
X:0:0000111001;0;10
Y:1:000011101;1;9
B:3:00001111;3;8
M:12:00010;12;5
V:12:00011;12;5
R:24:0010;24;4
O:25:0011;25;4
A:50:010;50;3
C:13:01100;13;5
D:13:01101;13;5
P:14:01110;14;5
H:7:011110;7;6
Z:4:0111110;4;7
J:5:0111111;5;7
L:30:1000;30;4
N:31:1001;31;4
S:32:1010;32;4
I:38:1011;38;4
E:71:110;71;3
T:39:1110;39;4
U:41:1111;41;4
